1	公司	实施集成	118	应用软件	1	1	全部应用软件必须由一家公司负责实施集成	1
2	投标公司	提供	119	免费服务	2	2	投标公司必须提供至少一年的免费服务期（项目验收后）	1
3	病案编目子系统	提取	120	诊断	3	3	病案编目子系统可以提取病房医生下达的诊断	1
4	固定资产管理子系统	管理	121	设备使用情况	4	4	固定资产管理子系统负责管理设备使用情况及其它一些辅助功能	1
5	人力资源管理系统	增删改查	122	员工信息	5	5	人力资源管理系统具有对单位员工信息档案的增删改查功能，满足劳动法第七条所要求的建立员工档案名册档案的要求	1
6	系统	提取	123	数据	6	6	当需要访问病人检查数据时，系统能够自动根据预取算法提取与此病人相关的历史检查数据送到“在线”存储系统中	1
7	工作站	动态维护	124	项目内容	7	7	预约登记工作站需要实现对病人的复诊信息和重复登记项目进行动态维护	1
8	系统	制定	125	计划	8	8	药库管理子系统采用批次管理模式，辅助采购计划的制定并生成采购计划及采购单	1
9	管理中心	审核	126	记录	9	9	物资管理中心需要根据单位需求对每日的账目记录尽进行审核	1
10	功能	包括	127	子功能	10	10	感染控制模块实现了若干功能包括感染检查项目以及其他相关子功能	1
11	算法	优化	128	数据库管理系统	11	11	PCAS服务器系统采用数据分离存储方式来优化数据库管理系统并保证海量书的存储与检索	1
12	管理系统	可视化	129	交易数据	12	12	药品超市管理系统可实现药品的超市化管理，并能与医院的药品管理系统进行数据共享，以及可视化交易数据	1
13	管理子系统	分类管理	130	贵重物品	13	13	管理子系统需要根据药瓶的贵重程度分类管理贵重物品	1
14	款项管理系统	查询	131	账款	14	14	款项管理系统能够查询客户的应收账款	2
15	人力资源管理系统	管理	132	员工信息	15	15	人力资源管理模块统一管理公司所有员工的信息	2
16	报表功能	提供	133	查询功能	16	16	在系统设计中，报表功能需要提供不同的分类查功能	2
17	模块	维护	134	分类信息	17	17	为了能够让公司高效地进行物资管理，物资类别管理模块需要维护企业松油地物资分类信息	2
18	公司	提供	135	单据	18	18	我公司向中方银行提供信用证所须单据，中方银行通过后，将这些单据发送往缅方银行，缅方银行审核通过后，缅方公司向缅方银行付款后，银行将单据给缅方公司，然后缅方公司凭单取货	2
19	接口	提供	136	功能	19	19	K3接口提供了单据导入的功能，但须按照要求的格式保存为Excel文件	2
20	系统管理	包括	137	组织管理	20	20	系统管理模块中包括组织机构管理子模块和一些其它地辅助模块	2
21	操作界面	录入	138	信息	21	21	为了方便公司员工使用该功能进行项目管理，该系统的操作界面需有录入信息的功能	2
22	列表界面	编辑	132	员工信息	22	22	作为管理系统基本的功能需求，该系统需要有列表界面来编辑员工信息	2
23	数据	包含	139	编号	23	23	员工的基本数据包括员工编号	2
24	管理系统	包括	140	会员管理	24	24	爱之家会员管理系统主要包括会员管理功能	3
25	系统人员	维护	141	操作日志	25	25	系统人员需要对用户的操作日志进行维护	3
26	系统管理员	查询	142	日志	26	26	系统管理员能够实时的查询系统日志并进行分析系统异常	3
27	人事管理模块	增删改查	143	员工信息	27	27	人事管理模块能够增删改查基本的员工信息以及辅助人事及时更新员工数据	4
28	系统管理员	维护	144	人事信息	28	28	系统管理员作为拥有较高权限者能够维护人事信息和用户权限	4
29	模块	提供	145	功能	29	29	考勤补录模块提供提供考勤信息的补充录入功能，用于对漏打的员工提供补充录入的功能	4
30	数据库	提取	146	审核信息	30	30	系统需要有基本的数据库支撑，能够从数据库中提取没有看到过的审核信息	4
31	功能	包括	147	数据备份	31	31	数据库的基本功能包括数据备份	4
32	管理模块	提供	148	用户界面	32	32	为了方便管理员对用户信息的操作，管理模块需要提供基本的用户界面	4
33	数据分析师	分析	149	用户日志	33	33	作为专业的数据分析师应当能够通过分析用户日志来为公司提供辅助决策	4
34	运维工程师	调整优化	150	系统性能	34	34	为了让系统能够有序高效的运行，运维工程师需要调整优化系统架构来提升系统性能，保障系统安全	4
35	报表部门	可视化	151	统计表	35	35	报表部门的职责除了统计公司的日常开销及盈利，还需要可视化这些统计数据来方便公司做出决策	4
36	公告管理部门	增删改查	152	系统公告	36	36	公告管理部门需要根据每天的公司动态及时发布相关公告	4
37	规格说明	描述了	153	项目需求	37	37	本规格说明描述了CRM的项目需求并作为系统设计和实现以及验收的依据	5
38	软件开发小组	构建	154	功能模块	38	38	在项目发布后，软件开发小组需要及时地构建功能模块并且按时提交任务接受验收	5
39	文档	描述了	155	接口需求	39	39	本文档主要描述了CRM的外部接口需求以及为接下来的任务实施做准备	5
40	参考资料	包括	156	软件工程	40	40	在本项目中，主要使用的参考资料包括《软件工程》	5
41	管理系统	是	157	应用系统	41	41	CRM 客户关系管理系统是把有关市场和客户的信息进行统一管理、共享，并能进行有效分析的处理的新型应用系统	5
42	系统目标	包括	158	事务管理	42	42	具体来说，系统的目标包括各种事务管理	5
43	关系管理系统	记录	159	客户生命周期	43	43	客户关系管理系统是基于销售漏斗为理念研究开发，以客户为中心，完整记录客户生命周期的全过程，帮助企业更好的获取和保存客户信息，有效的避免客户信息流失。	5
44	高层管理人员	审核	160	客户信息	44	44	高层管理人员通过对提交上来的用户信息进行审核来判断客户是否具有合作价值	5
45	业务人员	发布	161	商业信息	45	45	业务人员通过市场渠道了解并发布商业信息到系统中作为候选商机供决策者参考	5
46	系统	通知	162	主管人员	46	46	系统会通过系统协作组件通知相关主管人员对商机进行审批	5
47	审批系统	增删改查	163	申请信息	47	47	审批系统需要根据人员活动增删改查申请信息	5
48	查询系统	提供	164	组合查询功能	48	48	为了便于业务人员通过系统了解到新的商机，查询系统需要提供多种查询条件的组合查询功能	5
49	订单管理模块	包括	165	订单查看功能	49	49	订单管理模块主要包括订单查看功能	5
50	服务提供者	优化	166	性能	50	50	在进行模块开发的过程中，服务提供者需要优化产品性能，保证数据安全	5
51	功能需求	包括	167	功能描述	51	51	通常在一份需求任务书中，功能描述应当包括功能描述	6
52	人力资源系统	分类管理	168	人事信息	52	52	系统规范人事信息的管理	9
52	人力资源系统	分类管理	169	招聘	53	53	系统对招聘的各个环节加以管理。	9
52	人力资源系统	提供	170	功能	54	54	系统还需提供人事档案的导出和报表功能。	9
53	文档	提供	171	依据	55	55	本文档的编写为下阶段的设计、开发提供依据，	9
52	人力资源系统	包括	172	人力资源档案管理	56	56	人力资源系统包括人力资源档案管理、薪酬管理、调动管理、招聘管理	9
53	文档	提供	173	理解	57	57	文档为项目成员提供对需求的详尽理解，	9
53	文档	提供	174	保证	58	58	文档在开发开发过程中的协同工作提供强有力的保证。	9
54	用户	是	175	雇员	59	59	“用户”是指客户的雇员而非软件的最终购买者等。	9
55	人事经理	审核与发布	176	档案	60	60	档案变更需要人事经理审核与发布。	9
56	档案	包括	177	基本信息	61	61	档案信息包括：基本信息。	9
57	人资专员	审核与发布	177	基本信息	62	62	对新入职的员工，人资专员需要将其基本信息登记并审核与发布到人力资源管理系统中。	9
57	人资专员	分类管理	178	信息复核	63	63	人资专员管理信息复核。	9
55	人事经理	增删查改	179	档案	64	64	人事经理增加、查询人资档案，列出符合查询条件的记录，并察看其明细。人事专员/人事经理对人资档案数据进行更新。人事专员/人事经理对人资档案数据进行删除。	9
58	薪酬经理	分类管理	180	薪资	65	65	薪酬专员/薪酬经理对人事薪资进行管理、发放。	9
55	人事经理	调动	179	档案	66	66	人事专员/人事经理执行登记员工档案的调动，并登记其新的人事信息。	9
52	人力资源系统	分类管理	181	授权机制	67	67	本系统的用户授权机制通过角色的分类管理实现，	9
52	人力资源系统	增删查改	182	用户权限	68	68	系统通过定义某些角色能进行的操作权限，和定义用户拥有的角色，限定用户的操作权限，实现对用户的授权的增删查改。	9
59	设计局限	代表	183	决策	69	69	"设计局限的定义代表了对系统要求的决策, "	9
59	设计局限	指导	184	开发	70	70	设计局限出于商务运作、资金、人员、时间等多方面的综合考虑从而指导软件的开发。	9
60	人力资源管理	实现	185	最优绩效	71	71	人力资源管理就是有效开发人力资源实现组织最优绩效。	8
61	文档	提供	186	系统需求	72	72	本文档目的在于明确提供系统需求，界定系统实现功能的范围，指导	8
61	文档	是	187	基础	73	73	同时也是本系统设计人员的基础文档。	8
60	人力资源管理	预测	188	人力资源需求	74	74	人力资源管理就是预测组织人力资源需求	8
62	HR	审核与发布	189	人员档案	75	75	HR对新进员工的人员档案信息审核确认无语后上传到系统后台。	8
63	人员档案	是	190	职工信息	76	76	人员档案是建立符合公司组织机的组织模型和完整的人事档案库，记录职工的档案信息	8
64	部门经理	增删查改	189	人员档案	77	77	HR可以对人员档案进行增加、查询、删除、修改等操作。	8
65	人事专员	增删查改	191	人事变动	78	78	人事专员针对人事调动（调入、调出） 、内部调动、晋升、降职等人事变动业务的修改和查询。	8
64	部门经理	增删查改	192	教育培训项目	79	79	部门经理对教育培训项目类别维护， 包括类别代码、 名称等信息，可以增加、删 除和修改教育培训的类别信息。	8
66	系统管理员	分类管理	193	系统	80	80	系统管理员可以对整个系统进行管理及维护， 部门经理对本部门员工有管理权	8
66	系统管理员	增删查改	194	部门	81	81	机构分为若干部门， 系统管理员对各个部门的管理是相互独立的。 可以增加、 删除及修改部门。	8
66	系统管理员	维护	195	机构信息	82	82	机构信息维护，系统管理员可以及时更新公告新闻，通知员工一些相关信息。	8
66	系统管理员	分类管理	196	角色	83	83	系统管理员可以分类管理各个系统角色的权限，并对角色进行定义.	8
67	需求文档	构建	197	开发途径	84	84	本需求文档的编写目的在于构建人事信息管理系统软件的开发途径。	10
68	学科基础	形成	198	方法	85	85	在这些学科的基础上， 形成信息收集和加工的方法， 从而形成一个纵横交织的系统。	10
69	方法	形成	199	系统	86	85	在这些学科的基础上， 形成信息收集和加工的方法， 从而形成一个纵横交织的系统。	10
70	人事信息管理系统	分类管理	200	人事信息	87	86	研制人事信息管理系统软件是为了满足各企事业单位对员工基本信息， 员工的考勤信息， 员工离职调动等人事信息进行管理的方便	10
